-0.800000000	4063.317000000
-0.780000000	4023.900000000
-0.760000000	4054.995000000
-0.740000000	4055.207000000
-0.720000000	4032.641000000
-0.700000000	4013.190000000
-0.680000000	4034.768000000
-0.660000000	8200.637000000
-0.640000000	8126.267000000
-0.620000000	8167.791000000
-0.600000000	8092.968000000
-0.400000000	8230.471000000
0.800000000	8179.480000000
0.800000000	8159.214000000
0.780000000	8176.199000000
0.760000000	8162.268000000
0.740000000	8103.926000000
0.720000000	8142.109000000
0.700000000	8212.904000000
0.680000000	8140.811000000
0.660000000	8151.196000000
0.640000000	4020.448000000
0.620000000	4059.266000000
0.600000000	4030.629000000
0.400000000	4043.386000000
-0.800000000	4046.272000000
