-0.600000000	4023.004000000
-0.580000000	4048.881000000
-0.560000000	4022.387000000
-0.540000000	4032.541000000
-0.520000000	8110.322000000
-0.500000000	8159.083000000
-0.480000000	8080.904000000
-0.460000000	8145.929000000
-0.440000000	8096.746000000
-0.420000000	8174.187000000
-0.400000000	8130.016000000
-0.300000000	8145.953000000
0.600000000	8154.990000000
0.600000000	8116.726000000
0.580000000	8117.054000000
0.560000000	8105.647000000
0.540000000	8167.174000000
0.520000000	8113.485000000
0.500000000	4049.384000000
0.480000000	4014.421000000
0.460000000	4045.243000000
0.440000000	4010.666000000
0.420000000	4029.976000000
0.400000000	4051.470000000
0.300000000	4020.768000000
-0.600000000	4029.577000000
