1.000000000	4051.412000000	8144.146000000	1.000000000
2.000000000	4048.590000000	8098.370000000	1.000000000
3.000000000	4040.789000000	8197.679000000	1.000000000
4.000000000	4029.398000000	8207.074000000	1.000000000
5.000000000	4029.477000000	8226.618000000	1.000000000
6.000000000	4024.074000000	8126.857000000	1.000000000
7.000000000	4050.642000000	8146.136000000	1.000000000
8.000000000	4059.849000000	8171.963000000	1.000000000
9.000000000	4060.433000000	8116.594000000	1.000000000
10.000000000	4039.683000000	8216.993000000	1.000000000
11.000000000	4041.994000000	8209.525000000	1.000000000
12.000000000	4014.023000000	8200.759000000	1.000000000
13.000000000	4037.955000000	8155.668000000	1.000000000
14.000000000	4060.637000000	4023.353000000	0.000000000
15.000000000	4054.824000000	8169.415000000	1.000000000
16.000000000	4035.359000000	8216.451000000	1.000000000
17.000000000	4009.885000000	8184.683000000	1.000000000
18.000000000	4039.532000000	8157.852000000	1.000000000
19.000000000	4052.603000000	8185.386000000	1.000000000
20.000000000	4065.855000000	8108.347000000	1.000000000
21.000000000	4035.802000000	8156.669000000	1.000000000
22.000000000	4033.327000000	8169.312000000	1.000000000
23.000000000	4036.195000000	8205.294000000	1.000000000
24.000000000	4027.608000000	8155.773000000	1.000000000
25.000000000	4062.953000000	8119.363000000	1.000000000
26.000000000	4069.974000000	8153.495000000	1.000000000
27.000000000	4061.880000000	8166.758000000	1.000000000
28.000000000	4034.758000000	8231.425000000	1.000000000
29.000000000	4022.754000000	8197.108000000	1.000000000
30.000000000	4019.610000000	8180.996000000	1.000000000
31.000000000	4036.115000000	8183.328000000	1.000000000
32.000000000	4026.591000000	8158.058000000	1.000000000
33.000000000	4066.462000000	8124.256000000	1.000000000
34.000000000	4008.081000000	4043.057000000	0.000000000
35.000000000	4056.329000000	8141.869000000	1.000000000
36.000000000	4068.935000000	8134.877000000	1.000000000
37.000000000	4061.129000000	8173.403000000	1.000000000
38.000000000	4035.260000000	4065.388000000	0.000000000
39.000000000	4024.852000000	8205.323000000	1.000000000
40.000000000	4039.736000000	8173.147000000	1.000000000
41.000000000	4064.694000000	8096.001000000	1.000000000
42.000000000	4049.114000000	8192.313000000	1.000000000
43.000000000	4038.589000000	8228.930000000	1.000000000
44.000000000	4046.254000000	4032.842000000	0.000000000
45.000000000	4042.798000000	8190.415000000	1.000000000
46.000000000	4038.870000000	8165.260000000	1.000000000
47.000000000	4032.337000000	8122.609000000	1.000000000
48.000000000	4058.726000000	8152.457000000	1.000000000
49.000000000	4072.391000000	8165.461000000	1.000000000
50.000000000	4032.590000000	8225.308000000	1.000000000
