-1.100000000	4911.784000000
-1.080000000	4913.425000000
-1.060000000	4924.216000000
-1.040000000	4908.892000000
-1.020000000	4927.845000000
-1.000000000	4910.360000000
-0.980000000	4925.805000000
-0.960000000	4912.023000000
-0.940000000	4928.754000000
-0.920000000	4900.785000000
-0.900000000	4923.065000000
-0.880000000	4908.973000000
-0.860000000	9983.428000000
-0.840000000	10023.860000000
-0.820000000	10003.150000000
-0.800000000	10021.340000000
-0.780000000	9989.760000000
-0.760000000	10011.910000000
-0.740000000	9985.919000000
-0.720000000	9994.953000000
-0.700000000	9980.587000000
-0.400000000	10026.620000000
1.100000000	9994.453000000
1.100000000	9991.906000000
1.080000000	10021.850000000
1.060000000	10004.650000000
1.040000000	10022.850000000
1.020000000	10004.300000000
1.000000000	10032.960000000
0.980000000	9981.783000000
0.960000000	9991.158000000
0.940000000	9990.010000000
0.920000000	10039.300000000
0.900000000	4912.594000000
0.880000000	4910.732000000
0.860000000	4933.107000000
0.840000000	4906.552000000
0.820000000	4926.059000000
0.800000000	4911.928000000
0.780000000	4924.362000000
0.760000000	4906.311000000
0.740000000	4911.037000000
0.720000000	4897.254000000
0.700000000	4924.773000000
0.400000000	4917.375000000
-1.100000000	4907.714000000
